latency_column,phase,measured_percent,estimated_percent,total_points
latency_ms_temperature_temperature-sensor-01,baseline,100.0,0.0,300
latency_ms_temperature_temperature-sensor-01,event,100.0,0.0,750
latency_ms_temperature_temperature-sensor-01,recovery,100.0,0.0,600
latency_ms_fault_status_temperature-sensor-01,baseline,0.0,100.0,300
latency_ms_fault_status_temperature-sensor-01,event,0.0,100.0,750
latency_ms_fault_status_temperature-sensor-01,recovery,0.0,100.0,600
latency_ms_resources_temperature-sensor-01,baseline,100.0,0.0,300
latency_ms_resources_temperature-sensor-01,event,100.0,0.0,750
latency_ms_resources_temperature-sensor-01,recovery,100.0,0.0,600
latency_ms_temperature_temperature-sensor-02,baseline,0.0,100.0,300
latency_ms_temperature_temperature-sensor-02,event,0.0,100.0,750
latency_ms_temperature_temperature-sensor-02,recovery,0.0,100.0,600
latency_ms_fault_status_temperature-sensor-02,baseline,0.0,100.0,300
latency_ms_fault_status_temperature-sensor-02,event,0.0,100.0,750
latency_ms_fault_status_temperature-sensor-02,recovery,0.0,100.0,600
latency_ms_resources_temperature-sensor-02,baseline,100.0,0.0,300
latency_ms_resources_temperature-sensor-02,event,100.0,0.0,750
latency_ms_resources_temperature-sensor-02,recovery,100.0,0.0,600
latency_ms_temperature_temperature-sensor-03,baseline,0.0,100.0,300
latency_ms_temperature_temperature-sensor-03,event,0.0,100.0,750
latency_ms_temperature_temperature-sensor-03,recovery,0.0,100.0,600
latency_ms_fault_status_temperature-sensor-03,baseline,0.0,100.0,300
latency_ms_fault_status_temperature-sensor-03,event,0.0,100.0,750
latency_ms_fault_status_temperature-sensor-03,recovery,0.0,100.0,600
latency_ms_resources_temperature-sensor-03,baseline,100.0,0.0,300
latency_ms_resources_temperature-sensor-03,event,100.0,0.0,750
latency_ms_resources_temperature-sensor-03,recovery,100.0,0.0,600
latency_ms_temperature_temperature-sensor-04,baseline,0.0,100.0,300
latency_ms_temperature_temperature-sensor-04,event,0.0,100.0,750
latency_ms_temperature_temperature-sensor-04,recovery,0.0,100.0,600
latency_ms_fault_status_temperature-sensor-04,baseline,0.0,100.0,300
latency_ms_fault_status_temperature-sensor-04,event,0.0,100.0,750
latency_ms_fault_status_temperature-sensor-04,recovery,0.0,100.0,600
latency_ms_resources_temperature-sensor-04,baseline,100.0,0.0,300
latency_ms_resources_temperature-sensor-04,event,100.0,0.0,750
latency_ms_resources_temperature-sensor-04,recovery,100.0,0.0,600
